m,j
1,0.75
1,1
1,1
1,1
1,1.5
1,1
1,1
1,1
1,1
1,2
1,2
1,1.5
1,0.666666667
1,1.5
1,1.5
1,0.5
1,1
1,1.666666667
1,1.5
1,1
1,1.25
1,1
1,0.666666667
1,1
1,1
1,0.666666667
1,1.5
1,1
1,1.333333333
1,1.333333333
1,1.5
1,1.5
1,1.5
1,1.666666667
1,1.5
1,1.5
1,1
1,1.333333333
1,1.5
1,2
1,1.5
1,1.666666667
1,1.666666667
1,1.25
1,1
1,1.333333333
1,1
1,1.4
1,2
1,0.666666667
1,2
1,0.666666667
1,1
1,1.333333333
1,1
1,1
1,1.333333333
1,0.5
1,2
1,1.5
1,1.75
1,0.8
1,0.666666667
1,1
1,2
1,1.666666667
1,1.25
1,1
1,1.75
1,1
1,1.333333333
1,1
1,1.333333333
1,1.6
1,0.75
1,1.333333333
1,1.333333333
1,1.5
1,1
1,1
1,1
1,0.5
1,0.25
1,0.75
1,0.5
1,0.666666667
1,0.8
1,1
1,0.666666667
1,1
1,0.5
1,1
1,0.75
1,1
1,1
1,1
1,1.5
1,1
1,2
1,1.5
1,1.5
1,0.75
1,2
1,1.333333333
1,2
1,2
1,1
1,1
1,1.333333333
1,2
1,1
1,1
1,1.25
1,1.75
1,0.5
1,1.5
1,1
1,1
1,1.333333333
1,1.333333333
1,1.333333333
1,1.333333333
1,1.666666667
1,1.5
1,1.5
1,1.5
1,1.333333333
1,1.333333333
1,1
1,0.75
1,1
1,0.333333333
1,0.75
1,1.666666667
1,1.5
1,1.5
1,1.333333333
1,0.4
1,0.333333333
1,0.5
1,0.5
1,1
1,1
1,1.25
1,0.5
1,1.5
1,1.25
1,2
1,1
1,1
1,2
1,2
1,1
1,0.5
1,1.5
1,1.333333333
1,1.333333333
1,2
1,1.333333333
1,0.25
1,0.8
1,1.666666667
1,1.666666667
1,1.333333333
1,1.333333333
1,1
1,1
1,1
1,1.5
1,2
1,1.5
1,1.5
1,2
1,1
1,2
1,0.75
1,0.8
1,1
1,1
1,0.75
1,1.5
1,1.333333333
1,1
1,1.333333333
1,1.6
1,0.75
1,1
1,2.5
1,1.333333333
1,1.75
1,1
1,1.666666667
1,1.333333333
1,1.333333333
1,1.333333333
1,1.333333333
1,1.333333333
1,1.4
1,0.666666667
1,0.666666667
1,1
1,1.2
1,1.25
1,1.5
1,1.333333333
1,0.75
1,1.333333333
1,2
1,0.2
1,0.666666667
1,1
1,1.333333333
1,0.666666667
1,0.75
1,1
1,0.5
1,1
1,1.333333333
1,1
1,0.6
0,0.666666667
0,0.333333333
0,0.333333333
0,0
0,0
0,0.666666667
0,0.6
0,0.5
0,0.333333333
0,0
0,0.25
0,1
0,0.666666667
0,0.666666667
0,0.333333333
0,0.75
0,0.333333333
0,0.5
0,0.333333333
0,0.5
0,0.666666667
0,0.333333333
0,0.333333333
0,0.6
0,0.5
0,0.333333333
0,0.333333333
0,0.666666667
0,0.333333333
0,0.333333333
0,0.5
0,0.75
0,0.666666667
0,0.75
0,0.5
0,0.5
0,0.333333333
0,0.333333333
0,0
0,0.75
0,0.666666667
0,0.4
0,0.4
0,0.5
0,0.666666667
0,1
0,0.666666667
0,0.666666667
0,0.333333333
0,1
0,0.6
0,0.4
0,0.333333333
0,1
0,0
0,0.333333333
0,0.4
0,0.333333333
0,0.333333333
0,0.2
0,0.333333333
0,0.666666667
0,0.5
0,0.5
0,0.75
0,0.5
0,0.666666667
0,0.333333333
0,0.75
0,0.666666667
0,0.333333333
0,0.5
0,0.25
0,0.5
0,0.5
0,1
0,0.666666667
0,0.5
0,0.5
0,0.666666667
0,0.333333333
0,0.5
0,1
0,0.666666667
0,0.75
0,0.25
0,0.5
0,0.5
0,0.5
0,0.5
0,0.333333333
0,0.666666667
0,0
0,0.5
0,0.333333333
0,0
0,0.2
0,0.666666667
0,0.666666667
0,0
0,0.5
0,0.5
0,0.5
0,0.666666667
0,0.666666667
0,0.333333333
0,1
0,0.2
0,0.5
0,0.333333333
0,0.5
0,0.5
0,0.4
0,0.333333333
0,0.666666667
0,0.25
0,0
0,0.25
0,1
0,0.666666667
0,0.333333333
0,0.666666667
0,1
0,0.666666667
0,1
0,0
0,0
0,0
0,0.5
0,0.666666667
0,0.666666667
0,0
0,0.666666667
0,0.5
0,0
0,0.4
0,0.666666667
0,0.6
0,0.333333333
0,0.666666667
0,0.6
0,0.75
0,0
0,0.333333333
0,0.666666667
0,0.333333333
0,0.5
0,0.666666667
0,0.5
0,0.4
0,0.5
0,0.5
0,0.666666667
0,0.5
0,0
0,0.6
0,0.6
0,1
0,0.5
0,0.25
0,0.75
0,0.4
0,0.666666667
0,0.75
0,0.5
0,1
0,0.2
0,0.5
0,0.75
0,0.666666667
0,0.333333333
0,0.333333333
0,0.666666667
0,0.666666667
0,0.666666667
0,0.5
0,0.666666667
0,0.333333333
0,0.333333333
0,0
0,0.666666667
0,0.666666667
0,0.25
0,0.5
0,0.333333333
0,0.333333333
0,0.6
0,0.4
0,0.5
0,0.166666667
0,0.333333333
0,0.4
0,0.6
0,0.142857143
0,0.6
0,0
0,0.666666667
0,0.75
0,0.25
0,0.5
0,0.4
0,0.666666667
0,0.333333333
0,0.8
0,0.5
0,0.333333333
0,0.25
0,0.6
0,0.2
0,0
0,0.5
0,0.333333333
0,0.5
0,0.666666667
0,0.8
0,0.25
0,0.333333333
0,0.5
0,0.666666667
0,0.5
0,0.25
1,2
