m,j
1,4
1,1
1,5
1,2
1,2
1,4
1,5
1,5
1,2
1,2
1,3
1,3
1,3
1,1
1,4
1,3
1,3
1,2
1,2
1,4
1,4
1,7
1,4
1,3
1,2
1,3
1,4
1,4
1,3
1,1
1,2
1,2
1,2
1,2
1,2
1,4
1,3
1,6
1,3
1,1
1,3
1,1
1,0
1,5
1,1
1,3
1,3
1,4
1,1
1,4
1,2
1,4
1,7
1,1
1,4
1,3
1,4
1,7
1,1
1,3
1,2
1,6
1,7
1,4
1,3
1,3
1,2
1,4
1,4
1,3
1,3
1,3
1,2
1,1
1,3
1,1
1,2
1,0
1,3
1,3
1,3
1,4
1,5
1,5
1,4
1,7
1,4
1,6
1,6
1,5
1,6
1,2
1,4
1,4
1,4
1,3
1,1
1,5
1,1
1,3
1,3
1,5
1,1
1,3
1,2
1,1
1,3
1,3
1,3
1,0
1,6
1,6
1,3
1,2
1,8
1,2
1,3
1,2
1,3
1,4
1,5
1,5
1,2
1,2
1,1
1,2
1,5
1,3
1,5
1,4
1,2
1,5
1,7
1,4
1,2
1,2
1,4
1,9
1,10
1,9
1,3
1,6
1,3
1,5
1,6
1,1
1,2
1,2
1,6
1,3
1,0
1,1
1,4
1,5
1,1
1,2
1,6
1,1
1,4
1,8
1,6
1,6
1,2
1,4
1,4
1,4
1,1
1,3
1,2
1,2
1,2
1,4
1,1
1,5
1,2
1,7
1,6
1,2
1,3
1,7
1,3
1,4
1,3
1,3
1,6
1,7
1,3
1,0
1,3
1,1
1,5
1,2
1,4
1,2
1,4
1,4
1,4
1,7
1,4
1,6
1,4
1,4
1,4
1,7
1,1
1,7
1,4
1,1
1,9
1,8
1,5
1,2
1,6
1,5
1,4
1,7
1,6
1,3
1,6
1,8
0,7
0,6
0,7
0,4
0,5
0,6
0,11
0,3
0,7
0,5
0,10
0,5
0,6
0,5
0,7
0,7
0,6
0,7
0,6
0,6
0,8
0,6
0,11
0,11
0,8
0,5
0,7
0,7
0,7
0,4
0,5
0,6
0,7
0,7
0,8
0,9
0,6
0,6
0,4
0,9
0,5
0,9
0,7
0,8
0,6
0,4
0,4
0,6
0,6
0,5
0,8
0,10
0,4
0,4
0,4
0,4
0,9
0,6
0,6
0,9
0,6
0,5
0,8
0,9
0,8
0,11
0,7
0,7
0,9
0,7
0,8
0,8
0,8
0,4
0,5
0,4
0,6
0,5
0,4
0,7
0,5
0,6
0,5
0,7
0,7
0,10
0,3
0,4
0,5
0,8
0,7
0,5
0,8
0,11
0,6
0,5
0,10
0,5
0,5
0,4
0,4
0,5
0,5
0,6
0,7
0,6
0,8
0,11
0,9
0,4
0,10
0,7
0,11
0,8
0,6
0,7
0,11
0,7
0,8
0,8
0,7
0,6
0,4
0,6
0,4
0,5
0,6
0,6
0,7
0,6
0,5
0,8
0,5
0,8
0,7
0,11
0,6
0,7
0,6
0,7
0,9
0,7
0,8
0,8
0,6
0,6
0,4
0,8
0,15
0,10
0,7
0,9
0,5
0,5
0,9
0,6
0,8
0,3
0,9
0,9
0,7
0,10
0,4
0,7
0,7
0,4
0,9
0,8
0,8
0,6
0,7
0,6
0,5
0,5
0,6
0,8
0,8
0,8
0,6
0,4
0,7
0,6
0,7
0,9
0,7
0,8
0,8
0,8
0,8
0,12
0,7
0,10
0,8
0,17
0,8
0,7
0,6
0,7
0,7
0,5
0,11
0,6
0,4
0,7
0,7
0,6
0,7
0,10
0,10
0,7
0,7
0,6
0,6
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,7
1,0
